,vertices,delta,runtime,deltafactor
0,10000,25,4,100
1,10000,25,7,100
2,10000,24,5,100
3,10000,23,4,100
4,10000,25,5,100
5,10000,24,5,100
6,10000,23,5,100
7,10000,21,5,100
8,10000,24,6,100
9,10000,23,6,100
10,10000,25,4,101
11,10000,25,5,101
12,10000,24,5,101
13,10000,23,5,101
14,10000,25,5,101
15,10000,24,5,101
16,10000,23,5,101
17,10000,21,7,101
18,10000,24,5,101
19,10000,23,6,101
20,10000,25,5,102
21,10000,25,5,102
22,10000,24,6,102
23,10000,23,5,102
24,10000,25,6,102
25,10000,24,5,102
26,10000,23,5,102
27,10000,21,5,102
28,10000,24,5,102
29,10000,23,5,102
30,10000,25,5,103
31,10000,25,5,103
32,10000,24,5,103
33,10000,23,5,103
34,10000,25,5,103
35,10000,24,5,103
36,10000,23,5,103
37,10000,21,5,103
38,10000,24,5,103
39,10000,23,5,103
40,10000,25,5,104
41,10000,25,5,104
42,10000,24,5,104
43,10000,23,5,104
44,10000,25,5,104
45,10000,24,5,104
46,10000,23,5,104
47,10000,21,7,104
48,10000,24,5,104
49,10000,23,5,104
50,10000,25,6,105
51,10000,25,6,105
52,10000,24,6,105
53,10000,23,6,105
54,10000,25,5,105
55,10000,24,6,105
56,10000,23,5,105
57,10000,21,5,105
58,10000,24,5,105
59,10000,23,5,105
60,10000,25,5,106
61,10000,25,5,106
62,10000,24,5,106
63,10000,23,5,106
64,10000,25,5,106
65,10000,24,6,106
66,10000,23,5,106
67,10000,21,6,106
68,10000,24,5,106
69,10000,23,5,106
70,10000,25,5,107
71,10000,25,5,107
72,10000,24,7,107
73,10000,23,6,107
74,10000,25,6,107
75,10000,24,5,107
76,10000,23,5,107
77,10000,21,5,107
78,10000,24,5,107
79,10000,23,7,107
80,10000,25,5,108
81,10000,25,6,108
82,10000,24,8,108
83,10000,23,6,108
84,10000,25,8,108
85,10000,24,5,108
86,10000,23,5,108
87,10000,21,6,108
88,10000,24,6,108
89,10000,23,5,108
90,10000,25,5,109
91,10000,25,5,109
92,10000,24,5,109
93,10000,23,6,109
94,10000,25,5,109
95,10000,24,7,109
96,10000,23,5,109
97,10000,21,5,109
98,10000,24,6,109
99,10000,23,5,109
100,10000,25,5,110
101,10000,25,5,110
102,10000,24,6,110
103,10000,23,6,110
104,10000,25,6,110
105,10000,24,6,110
106,10000,23,6,110
107,10000,21,5,110
108,10000,24,6,110
109,10000,23,6,110
110,10000,25,6,111
111,10000,25,5,111
112,10000,24,5,111
113,10000,23,5,111
114,10000,25,5,111
115,10000,24,5,111
116,10000,23,5,111
117,10000,21,6,111
118,10000,24,6,111
119,10000,23,5,111
120,10000,25,5,112
121,10000,25,4,112
122,10000,24,6,112
123,10000,23,6,112
124,10000,25,5,112
125,10000,24,5,112
126,10000,23,5,112
127,10000,21,5,112
128,10000,24,6,112
129,10000,23,5,112
130,10000,25,6,113
131,10000,25,5,113
132,10000,24,5,113
133,10000,23,6,113
134,10000,25,7,113
135,10000,24,5,113
136,10000,23,5,113
137,10000,21,7,113
138,10000,24,5,113
139,10000,23,6,113
140,10000,25,6,114
141,10000,25,5,114
142,10000,24,5,114
143,10000,23,6,114
144,10000,25,6,114
145,10000,24,6,114
146,10000,23,7,114
147,10000,21,6,114
148,10000,24,5,114
149,10000,23,5,114
150,10000,25,6,115
151,10000,25,5,115
152,10000,24,6,115
153,10000,23,5,115
154,10000,25,6,115
155,10000,24,5,115
156,10000,23,6,115
157,10000,21,6,115
158,10000,24,6,115
159,10000,23,6,115
160,10000,25,6,116
161,10000,25,5,116
162,10000,24,5,116
163,10000,23,5,116
164,10000,25,5,116
165,10000,24,6,116
166,10000,23,6,116
167,10000,21,6,116
168,10000,24,6,116
169,10000,23,6,116
170,10000,25,5,117
171,10000,25,7,117
172,10000,24,5,117
173,10000,23,6,117
174,10000,25,5,117
175,10000,24,5,117
176,10000,23,6,117
177,10000,21,7,117
178,10000,24,6,117
179,10000,23,5,117
180,10000,25,6,118
181,10000,25,5,118
182,10000,24,6,118
183,10000,23,6,118
184,10000,25,6,118
185,10000,24,5,118
186,10000,23,6,118
187,10000,21,7,118
188,10000,24,7,118
189,10000,23,6,118
190,10000,25,6,119
191,10000,25,5,119
192,10000,24,5,119
193,10000,23,6,119
194,10000,25,6,119
195,10000,24,6,119
196,10000,23,6,119
197,10000,21,7,119
198,10000,24,5,119
199,10000,23,5,119
200,10000,25,6,120
201,10000,25,5,120
202,10000,24,5,120
203,10000,23,7,120
204,10000,25,6,120
205,10000,24,5,120
206,10000,23,5,120
207,10000,21,6,120
208,10000,24,6,120
209,10000,23,6,120
210,10000,25,6,121
211,10000,25,5,121
212,10000,24,7,121
213,10000,23,6,121
214,10000,25,6,121
215,10000,24,6,121
216,10000,23,5,121
217,10000,21,7,121
218,10000,24,5,121
219,10000,23,5,121
220,10000,25,5,122
221,10000,25,5,122
222,10000,24,6,122
223,10000,23,6,122
224,10000,25,5,122
225,10000,24,7,122
226,10000,23,7,122
227,10000,21,7,122
228,10000,24,6,122
229,10000,23,6,122
230,10000,25,5,123
231,10000,25,7,123
232,10000,24,6,123
233,10000,23,7,123
234,10000,25,6,123
235,10000,24,6,123
236,10000,23,5,123
237,10000,21,6,123
238,10000,24,7,123
239,10000,23,7,123
240,10000,25,6,124
241,10000,25,6,124
242,10000,24,6,124
243,10000,23,6,124
244,10000,25,6,124
245,10000,24,5,124
246,10000,23,5,124
247,10000,21,6,124
248,10000,24,6,124
249,10000,23,6,124
250,10000,25,6,125
251,10000,25,5,125
252,10000,24,6,125
253,10000,23,6,125
254,10000,25,6,125
255,10000,24,5,125
256,10000,23,7,125
257,10000,21,6,125
258,10000,24,6,125
259,10000,23,6,125
260,10000,25,6,126
261,10000,25,7,126
262,10000,24,5,126
263,10000,23,6,126
264,10000,25,7,126
265,10000,24,6,126
266,10000,23,6,126
267,10000,21,7,126
268,10000,24,6,126
269,10000,23,6,126
270,10000,25,8,127
271,10000,25,5,127
272,10000,24,7,127
273,10000,23,6,127
274,10000,25,5,127
275,10000,24,6,127
276,10000,23,6,127
277,10000,21,7,127
278,10000,24,5,127
279,10000,23,6,127
280,10000,25,7,128
281,10000,25,6,128
282,10000,24,7,128
283,10000,23,6,128
284,10000,25,6,128
285,10000,24,6,128
286,10000,23,6,128
287,10000,21,6,128
288,10000,24,6,128
289,10000,23,7,128
290,10000,25,7,129
291,10000,25,7,129
292,10000,24,6,129
293,10000,23,8,129
294,10000,25,7,129
295,10000,24,7,129
296,10000,23,6,129
297,10000,21,7,129
298,10000,24,6,129
299,10000,23,6,129
300,10000,25,6,130
301,10000,25,6,130
302,10000,24,5,130
303,10000,23,6,130
304,10000,25,6,130
305,10000,24,6,130
306,10000,23,5,130
307,10000,21,6,130
308,10000,24,6,130
309,10000,23,8,130
310,10000,25,5,131
311,10000,25,6,131
312,10000,24,7,131
313,10000,23,6,131
314,10000,25,6,131
315,10000,24,6,131
316,10000,23,6,131
317,10000,21,7,131
318,10000,24,6,131
319,10000,23,6,131
320,10000,25,6,132
321,10000,25,7,132
322,10000,24,5,132
323,10000,23,5,132
324,10000,25,7,132
325,10000,24,6,132
326,10000,23,6,132
327,10000,21,7,132
328,10000,24,6,132
329,10000,23,7,132
330,10000,25,6,133
331,10000,25,6,133
332,10000,24,5,133
333,10000,23,6,133
334,10000,25,8,133
335,10000,24,6,133
336,10000,23,5,133
337,10000,21,8,133
338,10000,24,6,133
339,10000,23,6,133
340,10000,25,7,134
341,10000,25,8,134
342,10000,24,6,134
343,10000,23,5,134
344,10000,25,6,134
345,10000,24,7,134
346,10000,23,6,134
347,10000,21,7,134
348,10000,24,6,134
349,10000,23,7,134
350,10000,25,6,135
351,10000,25,6,135
352,10000,24,6,135
353,10000,23,8,135
354,10000,25,6,135
355,10000,24,7,135
356,10000,23,5,135
357,10000,21,8,135
358,10000,24,6,135
359,10000,23,8,135
360,10000,25,6,136
361,10000,25,6,136
362,10000,24,6,136
363,10000,23,8,136
364,10000,25,6,136
365,10000,24,6,136
366,10000,23,6,136
367,10000,21,6,136
368,10000,24,6,136
369,10000,23,7,136
370,10000,25,6,137
371,10000,25,6,137
372,10000,24,7,137
373,10000,23,7,137
374,10000,25,6,137
375,10000,24,6,137
376,10000,23,5,137
377,10000,21,7,137
378,10000,24,6,137
379,10000,23,6,137
380,10000,25,7,138
381,10000,25,5,138
382,10000,24,7,138
383,10000,23,7,138
384,10000,25,6,138
385,10000,24,6,138
386,10000,23,8,138
387,10000,21,7,138
388,10000,24,6,138
389,10000,23,7,138
390,10000,25,6,139
391,10000,25,6,139
392,10000,24,8,139
393,10000,23,6,139
394,10000,25,7,139
395,10000,24,6,139
396,10000,23,6,139
397,10000,21,7,139
398,10000,24,6,139
399,10000,23,7,139
400,10000,25,6,140
401,10000,25,6,140
402,10000,24,6,140
403,10000,23,8,140
404,10000,25,7,140
405,10000,24,6,140
406,10000,23,7,140
407,10000,21,7,140
408,10000,24,6,140
409,10000,23,8,140
410,10000,25,8,141
411,10000,25,6,141
412,10000,24,6,141
413,10000,23,6,141
414,10000,25,6,141
415,10000,24,6,141
416,10000,23,7,141
417,10000,21,10,141
418,10000,24,9,141
419,10000,23,7,141
420,10000,25,6,142
421,10000,25,9,142
422,10000,24,7,142
423,10000,23,6,142
424,10000,25,14,142
425,10000,24,7,142
426,10000,23,6,142
427,10000,21,7,142
428,10000,24,7,142
429,10000,23,6,142
430,10000,25,6,143
431,10000,25,6,143
432,10000,24,7,143
433,10000,23,7,143
434,10000,25,6,143
435,10000,24,7,143
436,10000,23,6,143
437,10000,21,8,143
438,10000,24,8,143
439,10000,23,7,143
440,10000,25,6,144
441,10000,25,6,144
442,10000,24,7,144
443,10000,23,8,144
444,10000,25,8,144
445,10000,24,8,144
446,10000,23,7,144
447,10000,21,7,144
448,10000,24,6,144
449,10000,23,9,144
450,10000,25,6,145
451,10000,25,6,145
452,10000,24,8,145
453,10000,23,7,145
454,10000,25,7,145
455,10000,24,7,145
456,10000,23,10,145
457,10000,21,8,145
458,10000,24,7,145
459,10000,23,8,145
460,10000,25,6,146
461,10000,25,6,146
462,10000,24,9,146
463,10000,23,7,146
464,10000,25,7,146
465,10000,24,6,146
466,10000,23,7,146
467,10000,21,10,146
468,10000,24,7,146
469,10000,23,9,146
470,10000,25,7,147
471,10000,25,6,147
472,10000,24,7,147
473,10000,23,9,147
474,10000,25,10,147
475,10000,24,6,147
476,10000,23,6,147
477,10000,21,9,147
478,10000,24,6,147
479,10000,23,7,147
480,10000,25,7,148
481,10000,25,7,148
482,10000,24,6,148
483,10000,23,7,148
484,10000,25,10,148
485,10000,24,6,148
486,10000,23,6,148
487,10000,21,8,148
488,10000,24,7,148
489,10000,23,7,148
490,10000,25,7,149
491,10000,25,7,149
492,10000,24,7,149
493,10000,23,11,149
494,10000,25,7,149
495,10000,24,7,149
496,10000,23,7,149
497,10000,21,7,149
498,10000,24,6,149
499,10000,23,8,149
500,10000,25,6,150
501,10000,25,7,150
502,10000,24,6,150
503,10000,23,7,150
504,10000,25,6,150
505,10000,24,7,150
506,10000,23,7,150
507,10000,21,8,150
508,10000,24,10,150
509,10000,23,8,150
510,10000,25,7,151
511,10000,25,8,151
512,10000,24,9,151
513,10000,23,10,151
514,10000,25,9,151
515,10000,24,7,151
516,10000,23,7,151
517,10000,24,7,151
518,10000,23,6,151
519,10000,25,8,152
520,10000,25,6,152
521,10000,24,7,152
522,10000,23,8,152
523,10000,25,7,152
524,10000,24,7,152
525,10000,23,7,152
526,10000,24,9,152
527,10000,23,9,152
528,10000,25,8,153
529,10000,25,9,153
530,10000,24,10,153
531,10000,23,7,153
532,10000,25,7,153
533,10000,24,9,153
534,10000,23,7,153
535,10000,21,10,153
536,10000,24,7,153
537,10000,23,7,153
538,10000,25,7,154
539,10000,25,6,154
540,10000,24,8,154
541,10000,23,9,154
542,10000,24,6,154
543,10000,23,10,154
544,10000,21,10,154
545,10000,24,8,154
546,10000,23,8,154
547,10000,25,7,155
548,10000,25,7,155
549,10000,24,8,155
550,10000,23,8,155
551,10000,25,8,155
552,10000,24,8,155
553,10000,23,7,155
554,10000,24,6,155
555,10000,23,12,155
556,10000,25,9,156
557,10000,25,7,156
558,10000,24,7,156
559,10000,25,13,156
560,10000,24,6,156
561,10000,23,7,156
562,10000,21,12,156
563,10000,24,7,156
564,10000,23,9,156
565,10000,25,8,157
566,10000,25,8,157
567,10000,24,7,157
568,10000,23,7,157
569,10000,25,8,157
570,10000,24,8,157
571,10000,23,9,157
572,10000,21,9,157
573,10000,24,7,157
574,10000,23,9,157
575,10000,25,7,158
576,10000,25,7,158
577,10000,24,6,158
578,10000,23,6,158
579,10000,24,7,158
580,10000,23,8,158
581,10000,21,9,158
582,10000,24,7,158
583,10000,23,8,158
584,10000,25,8,159
585,10000,25,8,159
586,10000,24,7,159
587,10000,23,9,159
588,10000,24,8,159
589,10000,23,9,159
590,10000,21,9,159
591,10000,24,9,159
592,10000,23,8,159
593,10000,25,6,160
594,10000,25,8,160
595,10000,24,8,160
596,10000,23,7,160
597,10000,25,8,160
598,10000,24,7,160
599,10000,23,8,160
600,10000,21,9,160
601,10000,24,13,160
602,10000,23,9,160
603,10000,25,7,161
604,10000,25,8,161
605,10000,24,7,161
606,10000,23,8,161
607,10000,25,8,161
608,10000,24,7,161
609,10000,23,8,161
610,10000,21,8,161
611,10000,24,10,161
612,10000,23,9,161
613,10000,25,6,162
614,10000,25,7,162
615,10000,24,9,162
616,10000,23,8,162
617,10000,25,10,162
618,10000,24,8,162
619,10000,23,9,162
620,10000,24,8,162
621,10000,23,9,162
622,10000,25,8,163
623,10000,25,8,163
624,10000,24,8,163
625,10000,23,10,163
626,10000,25,8,163
627,10000,24,8,163
628,10000,23,7,163
629,10000,24,9,163
630,10000,23,9,163
631,10000,25,7,164
632,10000,25,8,164
633,10000,24,7,164
634,10000,23,8,164
635,10000,24,7,164
636,10000,23,9,164
